And he said, "Ma'am," he said, "what did the guerrillas that were there eating do with themselves?" [SEP] I said, "Sir, I've	gone	in, and I don't know, the house is big, and I went inside," I told him, "I haven't seen anyone." [SEP] He says, "Look, ma'am," he says, "you deserve to have your tongue cut out, because you are covering for the guerrillas."	#face-to-face#	face-to-face_ArguetaBertila-ENG.txt	go	spoken	OANC_spoken	5
Well, so many bullets, so many things. [SEP] Then, and the neighbors, and a niece of mine and a cousin lived there, and bullets went through my nephew's, and he had a five-year-old daughter, who was the only one who was there, because her mom, had	gone	to bring water, and she stayed, because of the firefight, she also stayed inside, so that she wouldn't, the little girl locked herself in, and thank God, she survived. [SEP] And when, then that was the first time that my little boy came down with, as if, I don't know, he didn't faint, but he, he turned purple here [indicates area around her mouth], green and then purple, and then he stopped breathing, fell to the floor.	#face-to-face#	face-to-face_ArguetaBertila-ENG.txt	go	spoken	OANC_spoken	5
We were down, I had my son under me, on the floor, Ines had one, and Ines brother, that is, the boy's uncle, had the other boy under him. [SEP] Only Luis Alonso had	gone	out. [SEP] Well, nobody noticed my brother until he said, "Vieja (Old lady)," he said, because that's how they talked to each other, "Vieja," he said, "I may be going to die," and we turned him around to see what the, the.	#face-to-face#	face-to-face_ArguetaBertila-ENG.txt	go	spoken	OANC_spoken	5
How was it going to high school in Charlotte? [SEP] Do you feel like, do you think it would have been different if you had	gone	to school in Boston or someplace else up north? [SEP] I guess, actually it would, because in high school, I was on a State cheerleading championship squad, and they don't have squads like that up north as much, my cousins tell me from their high school.	#face-to-face#	face-to-face_BlanchardTracy.txt	go	spoken	OANC_spoken	5
I'll tell you what! [SEP] I would have	gone	just to get a cup of coffee! [SEP] That's about three more days of not taking a shower!	#face-to-face#	face-to-face_ChapmanDebbie.txt	go	spoken	OANC_spoken	5
Which is the most important thing here! [SEP] I'm trying to think, because you're always telling stories and I just can't, my mind is	gone	, like your mind is	#face-to-face#	face-to-face_ChapmanDebbie.txt	go	spoken	OANC_spoken	5
I get to travel so infrequently that when I do get to go, I'm always thinking, "Well maybe, I'd love to go do this and this and this." [SEP] And I think, "Well, what if I go and I don't have as much fun as I would if I had	gone	to," you know? [SEP] Uh-huh.	#face-to-face#	face-to-face_ChapmanDebbie.txt	go	spoken	OANC_spoken	5
And we check it out and it is all right and by this time we are getting pretty, uh, inebriated, I guess you'd call it, and, uh, we were out there just acting stupid on the jet skis. [SEP] And, uh, at one point in time he actually runs into me on my jet ski and, uh, bends the handle bars and runs up on my legs and I got a big bruise on my legs, but I'm not feeling it then, I'm pretty well	gone	by this time. [SEP] And, uh, it's getting late in the afternoon and he says he has to get home, and he doesn't live on the lake so we load up his jet ski and, uh, put it on the trailer on the back of my truck and uh, we're going to go back to his house to take it back.	#face-to-face#	face-to-face_CoxJeremy.txt	go	spoken	OANC_spoken	5
Um, I know when I was really younger, I'll tell them this story, about never going near, uh, a frozen pond because when I was really young, um, the lake by my house had frozen over, actually it was just a pond, but it was a pretty big one, um, and we always use to play ice hockey and what not on it. [SEP] And it started to um, get warmer outside, but there was still a layer of ice on top of it, and a bunch of my friends had	gone	out on to the, the dock. [SEP] That is, you know, you could easily get to it.	#face-to-face#	face-to-face_DeLuciaBrian.txt	go	spoken	OANC_spoken	5
I don't remember any stories that I read. [SEP] I remember reading, the uh, um, my Nana, and we were just talking about this at Christmastime, my Nana had read a story, had wanted me to read a book, and we had	gone	to her apartment and she was um, reading The Owl and the Pussycat, and she would read it with me, I think, just to teach me how to, how to read, basically, but I remember and apparently, that was her favorite story or something like that, but I remember being forced to sit down and read it with her and I really didn't want to do it, but I always remember. [SEP] I can remember now the beginning part of it and that's really all I can	#face-to-face#	face-to-face_EmrichMegan.txt	go	spoken	OANC_spoken	5
