uh-huh but you know i know it's some people are real adamant about you know	going	to a certain school or whatever uh-huh	#telephone#	telephone_sw3102-ms98-a-trans.txt	go	spoken	OANC_spoken	2	going	coming	driving	walking	arriving
uh-huh and also for their business so that's what i ended up	going	for is for business uh-huh for business	#telephone#	telephone_sw3102-ms98-a-trans.txt	go	spoken	OANC_spoken	2	going	coming	driving	walking	arriving
no no not yet i am moving shortly so i am not looking around here oh i see where are you	going	to move to uh Maryland uh-huh	#telephone#	telephone_sw3102-ms98-a-trans.txt	go	spoken	OANC_spoken	2	going	coming	driving	walking	arriving
so but you know i think i think that's most of it personally but that's why i you know with my kids i think that you know i am just	going	to encourage them to go and i am	#telephone#	telephone_sw3102-ms98-a-trans.txt	go	spoken	OANC_spoken	2	going	coming	driving	walking	arriving
uh-huh uh they pretty much got to the point well well you know you are at that age and you are	going	to have to decide what you want to do if you goof up it's your fault it's not ours you know right	#telephone#	telephone_sw3102-ms98-a-trans.txt	go	spoken	OANC_spoken	2	going	coming	driving	walking	arriving
uh-huh yeah see well i screwed myself up also there was a point in time that i decided that i did not want to in school and my parents never pushed me until my dad just said what are you	going	to do and i said well i am	#telephone#	telephone_sw3102-ms98-a-trans.txt	go	spoken	OANC_spoken	2	going	coming	driving	walking	arriving
right and i am	going	into my third year and i decided well i do not want to do accounting anymore right uh-huh	#telephone#	telephone_sw3102-ms98-a-trans.txt	go	spoken	OANC_spoken	2	going	coming	driving	walking	arriving
yeah but i would have really liked to go on uh secondary ed with math education but it was just the fact i was paying for it myself i was not	going	to put myself behind another year uh-huh	#telephone#	telephone_sw3102-ms98-a-trans.txt	go	spoken	OANC_spoken	2	going	coming	driving	walking	arriving
uh-huh um i think that there are people that i think that uh i was a i was first generation	going	to college in my family uh-huh	#telephone#	telephone_sw3103-ms98-a-trans.txt	go	spoken	OANC_spoken	2	going	coming	driving	walking	arriving
indeed so that's the main point is that we are	going	ahead uh-huh	#telephone#	telephone_sw3103-ms98-a-trans.txt	go	spoken	OANC_spoken	2	going	coming	driving	walking	arriving
